Close,SMA14,SMA50,SMA14IND,SMA50IND,Bulls,CCI,DM,OSMA,RSI,Stoch,Decision
1.59957,1.59524,1.61010,0.00030,-0.00034,0.0035,-80,0.1,0,0,-10,STRONGSELL
1.59623,1.59560,1.60967,0.00036,-0.00042,-0.006,-100,-0.1,0,0,-20,STRONGSELL
1.59083,1.59567,1.60915,0.00006,-0.00052,-0.0025,-160,0.1,-0.001,-10,-30,SELL
1.59008,1.59602,1.60849,0.00035,-0.00067,-0.005,0,-0.1,-0.0005,0,-10,STRONGSELL
1.59092,1.59580,1.60809,-0.00022,-0.00039,0.00133,40,0,0,0,0,STRONGSELL
1.58801,1.59559,1.60765,-0.00020,-0.00044,0.00067,-40,0,-0.0005,0,0,STRONGSELL
1.58435,1.59500,1.60719,-0.00059,-0.00046,0.0005,0,-0.1,-0.0005,0,0,STRONGSELL
1.57877,1.59422,1.60664,-0.00079,-0.00055,0,-40,0,-0.0005,-10,-10,STRONGSELL
1.57683,1.59302,1.60595,-0.00120,-0.00068,-0.007,20,0,-0.0005,0,10,STRONGSELL
1.57663,1.59192,1.60515,-0.00111,-0.00080,-0.00275,40,0,0,0,0,STRONGSELL
1.57475,1.59056,1.60432,-0.00135,-0.00084,0.00375,0,-0.1,0,0,0,STRONGSELL
1.57184,1.58894,1.60333,-0.00163,-0.00099,0.001,20,0,-0.00025,0,0,STRONGSELL
1.56957,1.58709,1.60227,-0.00184,-0.00105,0,0,-0.1,-0.00025,0,0,STRONGSELL
1.56368,1.58506,1.60119,-0.00203,-0.00108,0.002,-20,-0.1,0,-10,0,STRONGSELL
1.5559,1.58229,1.60000,-0.00277,-0.00119,-0.00675,-40,0,-0.0005,0,0,SELL
1.56397,1.57917,1.59888,-0.00312,-0.00112,0,80,0,0.0005,10,0,STRONGSELL
1.56054,1.57687,1.59791,-0.00230,-0.00097,0,-20,0,0.0005,0,10,SELL
1.55452,1.57470,1.59681,-0.00216,-0.00110,0.00275,-20,0,-0.0005,0,0,STRONGBUY
1.55768,1.57216,1.59560,-0.00254,-0.00121,0.0035,40,0,0.0005,0,-10,BUY
1.55926,1.56979,1.59449,-0.00237,-0.00111,0.0005,20,0,0.00075,10,10,WAIT
1.56198,1.56774,1.59339,-0.00205,-0.00110,0.005,40,0.1,0.00075,0,30,BUY
1.55895,1.56614,1.59222,-0.00160,-0.00117,-0.0025,-20.05,0,0.0005,0,0,SELL
1.55967,1.56472,1.59102,-0.00142,-0.00120,-0.0006,0,0,0.0005,0,0,BUY
1.5638,1.56350,1.58987,-0.00123,-0.00115,0.0031,60.05,0.1,0.0005,0,0,STRONGBUY
1.55738,1.56258,1.58879,-0.00092,-0.00108,0.0015,-80,0,0,0,-10,STRONGBUY
1.56245,1.56134,1.58752,-0.00124,-0.00127,0,100,0,0.0005,10,10,STRONGBUY
1.56945,1.56067,1.58637,-0.00067,-0.00115,0.01175,160,0.2,0.0005,0,0,SELL
1.57096,1.56066,1.58529,-0.00001,-0.00108,-0.00525,-20,0.1,0.0005,0,20,SELL
1.56798,1.56118,1.58429,0.00052,-0.00100,-0.0015,-60,0.1,0.0005,0,0,STRONGSELL
1.56817,1.56204,1.58339,0.00086,-0.00090,-0.003,-20,0,-0.00025,0,0,STRONGSELL
1.5684,1.56234,1.58250,0.00030,nan,0.00975,0,0,-0.00025,0,-10,STRONGSELL
1.56109,1.56290,1.58160,0.00056,-0.00090,-0.00975,-120,0,-0.0005,0,-20,BUY
1.55987,1.56337,1.58053,0.00047,-0.00108,-0.005,-40,0,-0.0005,-10,-20,BUY
1.55975,1.56353,1.57943,0.00016,-0.00110,-0.00137,0,0,-0.001,0,-10,WAIT
1.56401,1.56356,1.57853,0.00004,-0.00090,0.00387,80,0,0,10,10,STRONGSELL
1.56227,1.56371,1.57779,0.00015,-0.00074,0.002,-40,0,0,0,0,STRONGBUY
1.56012,1.56395,1.57707,0.00024,-0.00072,-0.002,-40,-0.1,-0.0005,0,20,STRONGBUY
1.55979,1.56398,1.57638,0.00003,-0.00069,0.0025,0,0,0,0,0,STRONGBUY
1.56833,1.56369,1.57567,-0.00029,-0.00071,0.0035,140,0.1,0.0005,10,20,BUY
1.5694,1.56447,1.57532,0.00078,-0.00035,0.001,0,0,0.0005,0,10,STRONGSELL
1.5686,1.56497,1.57484,0.00050,-0.00048,-0.002,0,-0.1,0.0005,0,10,STRONGSELL
1.57007,1.56491,1.57434,-0.00006,-0.00050,-0.0005,20,0,0,0,0,SELL
1.56135,1.56485,1.57382,-0.00006,-0.00052,0.004,-140.05,-0.1,-0.0005,-10,-20,STRONGBUY
1.56443,1.56437,1.57314,-0.00047,-0.00068,-0.009,60.05,0,0,0,-20,BUY
1.5672,1.56411,1.57251,-0.00027,-0.00062,0.0035,60,0,0,10,-10,STRONGSELL
1.56997,1.56402,1.57201,-0.00009,-0.00050,0.0015,20,0.1,0,0,20,SELL
1.56654,1.56465,1.57150,0.00063,-0.00051,-0.0025,-60,0,-0.0005,-10,10,WAIT
1.56403,1.56513,1.57088,0.00048,-0.00062,-0.0005,-60,0,0,0,-10,BUY
1.5678,1.56544,1.57021,0.00031,-0.00067,0.001,80,-0.1,0,10,0,SELL
1.56646,1.56571,1.56960,0.00027,-0.00060,0.003,-40,0,-0.0005,-10,0,BUY
1.56648,1.56601,1.56888,0.00030,-0.00072,-0.005,0,0.1,0,0,0,STRONGBUY
1.5666,1.56646,1.56822,0.00045,-0.00066,0,-20,0,0,0,-10,BUY
1.5682,1.56695,1.56763,0.00049,-0.00059,0.0015,60,0,0,10,10,STRONGSELL
1.57094,1.56694,1.56718,-0.00001,-0.00045,0.002,80,0,0.0005,0,10,STRONGBUY
1.56848,1.56705,1.56679,0.00011,-0.00038,0.0015,-80,0,0,0,0,STRONGBUY
1.56425,1.56704,1.56635,-0.00001,-0.00045,-0.0025,-140,-0.1,-0.0005,-10,-20,STRONGBUY
1.57881,1.56662,1.56587,-0.00042,-0.00048,0.00925,280,0.2,0.001,20,20,SELL
1.57839,1.56787,1.56576,0.00125,-0.00011,-0.00275,0,0,0,0,10,SELL
1.57665,1.56887,1.56575,0.00100,-0.00001,-0.0015,-60,0,0.0005,-10,20,WAIT
1.57663,1.56954,1.56575,0.00067,0.00000,-0.0015,-40,0,0,0,-10,STRONGSELL
1.57636,1.57002,1.56575,0.00048,0.00000,0.0025,-20,0,-0.0005,0,-10,STRONGSELL
1.5765,1.57072,1.56578,0.00070,0.00003,-0.0015,0,0,0,0,-10,STRONGSELL
1.56808,1.57161,1.56587,0.00089,0.00009,-0.0035,-120.05,-0.1,-0.001,-10,-20,SELL
1.56806,1.57163,1.56584,0.00002,-0.00003,-0.0065,0,0,-0.0005,0,-30,STRONGSELL
1.56482,1.57175,1.56593,0.00011,0.00009,0,-39.95,-0.1,-0.0005,0,-10,WAIT
1.56693,1.57163,1.56611,-0.00012,0.00018,0,20,0,-0.0005,0,10,STRONGSELL
